geoid,name,B01003001,"B01003001, Error"
05000US24033,"Prince George's County, MD",955584,
86000US20601,"20601",27340,1686
86000US20607,"20607",12506,1483
86000US20608,"20608",629,186
86000US20613,"20613",15923,962
86000US20623,"20623",2846,557
86000US20705,"20705",28119,1864
86000US20706,"20706",43225,2985
86000US20707,"20707",36549,1231
86000US20708,"20708",26599,1737
86000US20710,"20710",9764,131
86000US20712,"20712",9179,368
86000US20715,"20715",26519,1180
86000US20716,"20716",22739,1316
86000US20720,"20720",26243,1946
86000US20721,"20721",30342,1990
86000US20722,"20722",6362,577
86000US20735,"20735",37926,1760
86000US20737,"20737",24987,1885
86000US20740,"20740",36564,811
86000US20742,"20742",4324,590
86000US20743,"20743",39439,2031
86000US20744,"20744",56236,2708
86000US20745,"20745",29518,1527
86000US20746,"20746",27494,1703
86000US20747,"20747",37924,2014
86000US20748,"20748",40094,2760
86000US20762,"20762",3075,482
86000US20769,"20769",7061,1172
86000US20770,"20770",28181,632
86000US20771,"20771",0,14
86000US20772,"20772",52768,2720
86000US20774,"20774",52221,2653
86000US20781,"20781",13274,1272
86000US20782,"20782",34646,2175
86000US20783,"20783",50893,2728
86000US20784,"20784",32271,1877
86000US20785,"20785",40946,1937
86000US20903,"20903",25540,2278
86000US20904,"20904",57244,2372
86000US20912,"20912",25428,1191
